,station,parameter,time,value
248,462,1,2011-06-01 03:00:00+00:00,1.6
249,306,1,2011-06-01 03:00:00+00:00,0.0
250,468,1,2011-06-01 03:00:00+00:00,0.0
251,516,1,2011-06-01 03:00:00+00:00,0.0
252,364,1,2011-06-01 03:00:00+00:00,0.0
253,312,1,2011-06-01 03:00:00+00:00,1.0
254,473,1,2011-06-01 03:00:00+00:00,0.0
255,425,1,2011-06-01 03:00:00+00:00,13.8
256,326,1,2011-06-01 03:00:00+00:00,2.0
257,397,1,2011-06-01 03:00:00+00:00,0.0
258,472,1,2011-06-01 03:00:00+00:00,22.2
259,517,1,2011-06-01 03:00:00+00:00,0.0
260,365,1,2011-06-01 03:00:00+00:00,0.0
261,308,1,2011-06-01 03:00:00+00:00,0.0
262,426,1,2011-06-01 03:00:00+00:00,39.0
263,433,1,2011-06-01 03:00:00+00:00,29.0
264,503,1,2011-06-01 03:00:00+00:00,0.0
265,504,1,2011-06-01 03:00:00+00:00,3.5
266,321,1,2011-06-01 03:00:00+00:00,10.2
267,366,1,2011-06-01 03:00:00+00:00,5.9
268,327,1,2011-06-01 03:00:00+00:00,3.2
269,519,1,2011-06-01 03:00:00+00:00,1.5
270,368,1,2011-06-01 03:00:00+00:00,0.0
271,324,1,2011-06-01 03:00:00+00:00,0.7
272,429,1,2011-06-01 03:00:00+00:00,29.5
273,469,1,2011-06-01 03:00:00+00:00,7.0
274,328,1,2011-06-01 03:00:00+00:00,0.0
275,471,1,2011-06-01 03:00:00+00:00,0.5
276,373,1,2011-06-01 03:00:00+00:00,0.0
277,374,1,2011-06-01 03:00:00+00:00,22.2
278,434,1,2011-06-01 03:00:00+00:00,1.8
279,501,1,2011-06-01 03:00:00+00:00,0.0
280,375,1,2011-06-01 03:00:00+00:00,8.0
281,307,1,2011-06-01 03:00:00+00:00,0.0
282,435,1,2011-06-01 03:00:00+00:00,25.2
283,513,1,2011-06-01 03:00:00+00:00,0.0
284,474,1,2011-06-01 03:00:00+00:00,39.0
285,381,1,2011-06-01 03:00:00+00:00,11.9
286,342,1,2011-06-01 03:00:00+00:00,0.0
287,436,1,2011-06-01 03:00:00+00:00,53.5
288,379,1,2011-06-01 03:00:00+00:00,0.9
289,348,1,2011-06-01 03:00:00+00:00,2.0
290,524,1,2011-06-01 03:00:00+00:00,0.0
291,384,1,2011-06-01 03:00:00+00:00,21.3
292,449,1,2011-06-01 03:00:00+00:00,1.2
293,343,1,2011-06-01 03:00:00+00:00,14.0
294,382,1,2011-06-01 03:00:00+00:00,0.0
295,531,1,2011-06-01 03:00:00+00:00,0.0
296,527,1,2011-06-01 03:00:00+00:00,0.0
297,338,1,2011-06-01 03:00:00+00:00,0.0
298,341,1,2011-06-01 03:00:00+00:00,23.8
299,388,1,2011-06-01 03:00:00+00:00,10.5
300,475,1,2011-06-01 03:00:00+00:00,9.2
301,535,1,2011-06-01 03:00:00+00:00,3.2
302,443,1,2011-06-01 03:00:00+00:00,0.0
303,442,1,2011-06-01 03:00:00+00:00,8.2
304,330,1,2011-06-01 03:00:00+00:00,0.0
305,399,1,2011-06-01 03:00:00+00:00,0.0
306,538,1,2011-06-01 03:00:00+00:00,15.0
307,482,1,2011-06-01 03:00:00+00:00,0.0
308,336,1,2011-06-01 03:00:00+00:00,0.0
309,540,1,2011-06-01 03:00:00+00:00,0.0
310,445,1,2011-06-01 03:00:00+00:00,0.0
311,334,1,2011-06-01 03:00:00+00:00,30.4
312,539,1,2011-06-01 03:00:00+00:00,12.6
313,340,1,2011-06-01 03:00:00+00:00,2.5
314,446,1,2011-06-01 03:00:00+00:00,0.0
315,394,1,2011-06-01 03:00:00+00:00,0.0
316,346,1,2011-06-01 03:00:00+00:00,0.0
317,541,1,2011-06-01 03:00:00+00:00,4.5
318,389,1,2011-06-01 03:00:00+00:00,0.0
319,450,1,2011-06-01 03:00:00+00:00,16.3
320,476,1,2011-06-01 03:00:00+00:00,3.2
321,542,1,2011-06-01 03:00:00+00:00,0.0
322,543,1,2011-06-01 03:00:00+00:00,0.0
323,390,1,2011-06-01 03:00:00+00:00,0.0
324,331,1,2011-06-01 03:00:00+00:00,0.0
325,332,1,2011-06-01 03:00:00+00:00,0.0
326,558,1,2011-06-01 03:00:00+00:00,0.0
327,479,1,2011-06-01 03:00:00+00:00,3.0
328,545,1,2011-06-01 03:00:00+00:00,3.4
329,448,1,2011-06-01 03:00:00+00:00,63.7
330,344,1,2011-06-01 03:00:00+00:00,0.0
331,544,1,2011-06-01 03:00:00+00:00,12.3
332,547,1,2011-06-01 03:00:00+00:00,5.0
333,754,1,2011-06-01 03:00:00+00:00,0.0
334,548,1,2011-06-01 03:00:00+00:00,27.5
335,771,1,2011-06-01 03:00:00+00:00,0.0
