,station,parameter,time,value,station__location,station__elevation,longitude,latitude
300,506,1,2011-06-01 03:00:00+00:00,13.7,SRID=4326;POINT (87.765595 27.14367389),1157,87.765595,27.14367389
301,518,1,2011-06-01 03:00:00+00:00,5.7,SRID=4326;POINT (87.292473 27.046316),1720,87.292473,27.046316
302,409,1,2011-06-01 03:00:00+00:00,2.7,SRID=4326;POINT (81.33074444 28.78096944),243,81.33074444,28.78096944
303,452,1,2011-06-01 03:00:00+00:00,5.7,SRID=4326;POINT (84.26600278 28.30964722),1690,84.26600278,28.30964722
304,392,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.63913889 29.2495),1822,81.63913889,29.2495
305,407,1,2011-06-01 03:00:00+00:00,120,SRID=4326;POINT (82.10744444 29.43111111),2785,82.10744444,29.43111111
306,315,1,2011-06-01 03:00:00+00:00,20.5,SRID=4326;POINT (85.37883333 27.59291667),1527,85.37883333,27.59291667
307,356,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.78569444 27.94748333),137,81.78569444,27.94748333
308,405,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.30580306 29.58904306),2257,82.30580306,29.58904306
309,457,1,2011-06-01 03:00:00+00:00,3.6,SRID=4326;POINT (84.08931667 28.16603056),682,84.08931667,28.16603056
310,358,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.58405556 28.067825),134,81.58405556,28.067825
311,357,1,2011-06-01 03:00:00+00:00,28.8,SRID=4326;POINT (85.55730833 26.85282222),87,85.55730833,26.85282222
312,410,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.952645 29.77827806),1680,81.952645,29.77827806
313,323,1,2011-06-01 03:00:00+00:00,4.8,SRID=4326;POINT (81.98629167 29.32767778),2364,81.98629167,29.32767778
314,316,1,2011-06-01 03:00:00+00:00,24.2,SRID=4326;POINT (85.170475 27.20300556),244,85.170475,27.20300556
315,464,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.85201667 28.10354722),835,82.85201667,28.10354722
316,408,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.89267389 29.50867889),1848,81.89267389,29.50867889
317,319,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (87.14629 27.35279),1169,87.14629,27.35279
318,325,1,2011-06-01 03:00:00+00:00,15.2,SRID=4326;POINT (85.6358 27.6939),1358,85.6358,27.6939
319,458,1,2011-06-01 03:00:00+00:00,3,SRID=4326;POINT (82.818543 28.986586),2475,82.818543,28.986586
320,396,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.22301111 29.26385556),2422,82.22301111,29.26385556
